,ID,N_VICTIMAS,FECHA,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,COMUNA,pos x,pos y,VICTIMA,ACUSADO
450,2019-0033,1,2019-04-18,1,"AUTOPISTA 25 DE MAYO Y HUERGO, ING. AV.",AUTOPISTA,1,-58.36607137,-34.62150748,MOTO,SD
451,2019-0034,1,2019-04-21,9,"MORENO, PERITO AV. 3050",AVENIDA,7,-58.45537373,-34.65093074,MOTO,OBJETO FIJO
452,2019-0035,1,2019-04-23,14,SUIPACHA 665,CALLE,1,-58.37942637,-34.60053054,PEATON,BICICLETA
453,2019-0036,1,2019-04-26,22,RIGLOS Y FORMOSA,CALLE,6,-58.4368044,-34.62147504,MOTO,AUTO
454,2019-0037,1,2019-05-01,23,LA RIOJA E INDEPENDENCIA AV.,AVENIDA,3,-58.40778291,-34.61971907,MOTO,AUTO
455,2019-0038,1,2019-05-04,14,"UDAONDO, GUILLERMO AV. Y FIGUEROA ALCORTA, PRES. AV.",AVENIDA,13,-58.45212523,-34.54628513,PEATON,MOTO
456,2019-0039,1,2019-05-09,3,SAN PEDRITO AV. Y DIRECTORIO AV.,AVENIDA,7,-58.46749188,-34.63551751,MOTO,AUTO
457,2019-0040,1,2019-05-09,12,PUAN Y SANTANDER,CALLE,7,-58.4426358,-34.63679732,MOTO,SD
458,2019-0041,1,2019-05-11,20,"ALBERDI, JUAN BAUTISTA AV. Y ANDALGALA",AVENIDA,9,-58.51140289,-34.65846419,AUTO,MULTIPLE
459,2019-0042,1,2019-05-14,15,LIMA Y CONSTITUCION,CALLE,1,-58.38211431,-34.62465368,PEATON,PASAJEROS
460,2019-0043,1,2019-05-21,9,"CORDOBA AV. Y MADERO, EDUARDO AV.",AVENIDA,1,-58.36951669,-34.59832047,BICICLETA,CARGAS
461,2019-0044,1,2019-05-27,12,BOEDO AV. 650,AVENIDA,5,-58.41635217,-34.62036547,PEATON,MOTO
