,ID hecho,FECHA ,SEXO,EDAD_VICTIMA
317,LC-2019-0024755,2019-01-12,Mujer,34
318,LC-2019-0024778,2019-01-12,Mujer,38
319,LC-2019-0025473,2019-01-12,Varon,75
320,LC-2019-0033162,2019-01-12,Mujer,58
321,LC-2019-0267484,2019-01-12,Varon,31
322,LC-2019-0757409,2019-01-12,varon,59
323,LC-2019-0024930,2019-01-13,Varon,73
324,LC-2019-0025033,2019-01-13,Mujer,41
325,LC-2019-0025067,2019-01-13,Varon,31
326,LC-2019-0025088,2019-01-13,Varon,42
327,LC-2019-0025109,2019-01-13,Varon,45
328,LC-2019-0025109,2019-01-13,Mujer,45
329,LC-2019-0025134,2019-01-13,Mujer,33
330,LC-2019-0025154,2019-01-13,Mujer,28
331,LC-2019-0025411,2019-01-13,Mujer,33
332,LC-2019-0025411,2019-01-13,Varon,33
333,LC-2019-0025411,2019-01-13,Varon,35
334,LC-2019-0642028,2019-10-14,Varon,20
335,LC-2019-0025428,2019-01-13,Mujer,41
336,LC-2019-0025428,2019-01-13,Mujer,41
337,LC-2019-0025548,2019-01-13,Varon,21
338,LC-2019-0025548,2019-01-13,Varon,21
339,LC-2019-0378357,2019-06-18,Varon,37
340,LC-2019-0025730,2019-01-13,Varon,64
341,LC-2019-0025730,2019-01-13,Varon,64
342,LC-2019-0052617,2019-01-13,Varon,36
343,LC-2019-0052617,2019-01-13,Mujer,36
344,LC-2019-0025021,2019-01-13,varon,74
345,LC-2019-0025831,2019-01-14,Varon,21
346,LC-2019-0025831,2019-01-14,Mujer,21
347,LC-2019-0025841,2019-01-14,Mujer,48
348,LC-2019-0025841,2019-01-14,Mujer,48
349,LC-2019-0026116,2019-01-14,Varon,35
350,LC-2019-0026619,2019-01-14,Varon,29
351,LC-2019-0026635,2019-01-14,Mujer,20
352,LC-2019-0026635,2019-01-14,Varon,20
353,LC-2019-0027065,2019-01-14,Varon,32
354,LC-2019-0027083,2019-01-14,Varon,40
355,LC-2019-0027156,2019-01-14,Varon,40
356,LC-2019-0027204,2019-01-14,Mujer,35
357,LC-2019-0027208,2019-01-14,Varon,35
358,LC-2019-0027290,2019-01-14,Varon,34
359,LC-2019-0027336,2019-01-14,Varon,60
360,LC-2019-0027551,2019-01-14,SD,35
361,LC-2019-0027620,2019-01-14,Mujer,35
362,LC-2019-0027679,2019-01-14,Mujer,35
363,LC-2019-0027748,2019-01-14,Varon,31
364,LC-2019-0027769,2019-01-14,Mujer,25
365,LC-2019-0027969,2019-01-14,Varon,35
366,LC-2019-0028124,2019-01-14,Mujer,35
367,LC-2019-0028203,2019-01-14,Varon,29
